file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,setUp/0,false,27,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateException.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateException,ClientCommandDelegateException/1[java.lang.Throwable],true,18,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateException.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateException,"ClientCommandDelegateException/2[java.lang.String,java.lang.Throwable]",true,30,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,setUp/0,false,28,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,testProperMapping/0,false,42,4,3,0,3,1,3,7,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,testAbsentMapping/0,false,69,3,2,0,2,2,3,9,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,25,1,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],false,21,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateExceptionTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateExceptionTest,testCommandProcessingException/0,false,17,2,1,0,1,2,3,8,0,2,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,10,17,0,false
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,setCommandExecutor/1[name.paulevans.distcmdfrmwk.CommandExecutor],false,35,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,17,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,invokeInternal/1[java.lang.Object],false,41,2,2,1,1,1,5,9,1,2,1,5,0,0,0,0,0,0,4,0,2,2,0,0,0,0,15,4,2,false
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\CommandStub.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.CommandStub,execute/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,getServerCommand/1[name.paulevans.distcmdfrmwk.client.ClientCommand],false,67,2,1,1,0,2,4,13,1,2,1,4,0,0,0,0,1,0,0,0,2,0,1,0,0,0,25,18,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,"addMapping/2[java.lang.Class<? extends name.paulevans.distcmdfrmwk.client.ClientCommand>,java.lang.Class<? extends name.paulevans.distcmdfrmwk.Command>]",false,55,0,1,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],false,95,3,4,2,2,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\ClientCommand.java,name.paulevans.distcmdfrmwk.client.ClientCommand,setClientCommandDelegate/1[name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate],false,17,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\Command.java,name.paulevans.distcmdfrmwk.Command,execute/0,false,12,0,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,"CommandProcessingException/2[java.lang.String,java.lang.Throwable]",true,29,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,CommandProcessingException/1[java.lang.Throwable],true,18,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,CommandProcessingException/1[java.lang.String],true,39,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
