file,class,method,variable,usage
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,testCmdProccessingException/0,mockCmd,3
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateException.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateException,ClientCommandDelegateException/1[java.lang.Throwable],pCause,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateException.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateException,"ClientCommandDelegateException/2[java.lang.String,java.lang.Throwable]",pMessage,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateException.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateException,"ClientCommandDelegateException/2[java.lang.String,java.lang.Throwable]",pCause,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,testProperMapping/0,object,2
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,testAbsentMapping/0,any,0
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],pCommand,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateExceptionTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateExceptionTest,testCommandProcessingException/0,clientCmdDelegateException,4
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateExceptionTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateExceptionTest,testCommandProcessingException/0,cause,2
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,setCommandExecutor/1[name.paulevans.distcmdfrmwk.CommandExecutor],pCmdExecutor,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,invokeInternal/1[java.lang.Object],commandResult,3
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,invokeInternal/1[java.lang.Object],pUnmarshaledRequest,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,invokeInternal/1[java.lang.Object],command,3
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,getServerCommand/1[name.paulevans.distcmdfrmwk.client.ClientCommand],serverCmdClass,2
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,getServerCommand/1[name.paulevans.distcmdfrmwk.client.ClientCommand],pClientCmd,2
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,getServerCommand/1[name.paulevans.distcmdfrmwk.client.ClientCommand],serverCmd,3
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,getServerCommand/1[name.paulevans.distcmdfrmwk.client.ClientCommand],any,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,"addMapping/2[java.lang.Class<? extends name.paulevans.distcmdfrmwk.client.ClientCommand>,java.lang.Class<? extends name.paulevans.distcmdfrmwk.Command>]",pServerCmd,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,"addMapping/2[java.lang.Class<? extends name.paulevans.distcmdfrmwk.client.ClientCommand>,java.lang.Class<? extends name.paulevans.distcmdfrmwk.Command>]",pClientCmd,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],serverCommand,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],pCommand,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\ClientCommand.java,name.paulevans.distcmdfrmwk.client.ClientCommand,setClientCommandDelegate/1[name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate],pClientCommandDelegate,0
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,"CommandProcessingException/2[java.lang.String,java.lang.Throwable]",pMessage,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,"CommandProcessingException/2[java.lang.String,java.lang.Throwable]",pCause,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,CommandProcessingException/1[java.lang.Throwable],pCause,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandProcessingException.java,name.paulevans.distcmdfrmwk.CommandProcessingException,CommandProcessingException/1[java.lang.String],pMessage,1
