file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListaVineta.java,com.sidlors.patterns.bridge.ListaVineta,obtenerItem/1[int],false,15,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListaVineta.java,com.sidlors.patterns.bridge.ListaVineta,setTipoItem/1[char],false,6,0,1,1,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,1,0,false
C:\patrones-master\05_AbstractFactory\src\com\sidlors\abstracfactory\PostgresqlConexion.java,com.sidlors.abstracfactory.PostgresqlConexion,PostgresqlConexion/0,true,6,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\patrones-master\05_AbstractFactory\src\com\sidlors\abstracfactory\PostgresqlConexion.java,com.sidlors.abstracfactory.PostgresqlConexion,descripcion/0,false,10,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ItemProyecto.java,com.sidlors.patterns.composition.ItemProyecto,imprimir/0,false,5,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ItemProyecto.java,com.sidlors.patterns.composition.ItemProyecto,getTiempo/0,false,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\patrones-master\12_Decorador\src\main\java\mx\com\sidlors\patrones\decorator\DecoradorHamburguesa.java,mx.com.sidlors.patrones.decorator.DecoradorHamburguesa,getDescripcion/0,false,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\Plasma.java,mx.com.sidors.method.factory.modelo.Plasma,"Plasma/3[java.lang.String,java.lang.String,java.lang.String]",true,5,0,1,1,0,1,3,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\patrones-master\17_Memento\src\main\java\com\sidlors\patterns\memento\Memento.java,com.sidlors.patterns.memento.Memento,Memento/0,true,7,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\patrones-master\17_Memento\src\main\java\com\sidlors\patterns\memento\Memento.java,com.sidlors.patterns.memento.Memento,getBackup/1[int],false,19,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\patrones-master\17_Memento\src\main\java\com\sidlors\patterns\memento\Memento.java,com.sidlors.patterns.memento.Memento,getSize/0,false,23,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\patrones-master\17_Memento\src\main\java\com\sidlors\patterns\memento\Memento.java,com.sidlors.patterns.memento.Memento,setBackup/1[java.util.ArrayList<com.sidlors.patterns.memento.Registro>],false,11,1,1,1,0,2,2,7,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,1,0,false
