file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\patrones-master\16_Estrategia\src\main\java\mx\com\sidlors\patrones\strategy\contexto\AvionRapido.java,mx.com.sidlors.patrones.strategy.contexto.AvionRapido,class,1,2,1,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\patrones-master\03_Factory\src\main\java\com\sidlors\objects\Conexion.java,com.sidlors.objects.Conexion,class,0,5,5,0,2,1,3,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1025,0
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Prueba.java,com.sidlors.patterns.composition.Prueba,class,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,6,1,0,1,1,0,0,0,5,1,0
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabras.java,com.sidlors.patterns.iterator.ListaPalabras,class,1,2,1,1,8,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,30,1,0,0,0,0,0,6,6,0,6,1,0,0,0,12,1,0
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\PruebaPlantilla.java,com.sidlors.patterns.template.PruebaPlantilla,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,8,2,0,2,0,0,0,0,8,1,0
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\Activa.java,com.sidlors.patterns.state.Activa,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
C:\patrones-master\05_AbstractFactory\src\com\sidlors\abstracfactory\Conexion.java,com.sidlors.abstracfactory.Conexion,class,0,7,7,0,2,1,4,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1025,0
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,class,3,3,0,3,3,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,6,6,6,0,5,1,0,0,0,13,1,0
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabrasIterador.java,com.sidlors.patterns.iterator.ListaPalabrasIterador,class,1,2,1,1,9,1,0,0,0,0.2777778,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,35,8,0,0,0,0,0,7,6,0,6,1,0,0,0,21,1,0
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ImpListaRepetidos.java,com.sidlors.patterns.bridge.ImpListaRepetidos,class,1,2,1,1,7,1,0,6,0,0.2,0.6,0.6,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,23,4,0,0,0,0,0,0,1,0,1,1,0,0,0,19,1,0
