file,class,method,variable,usage
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Cuadrado.java,com.sidlors.patterns.prototype.Cuadrado,setNombre/1[java.lang.String],n,1
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Cuadrado.java,com.sidlors.patterns.prototype.Cuadrado,"mover/2[int,int]",x,1
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Cuadrado.java,com.sidlors.patterns.prototype.Cuadrado,"mover/2[int,int]",y,1
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Cuadrado.java,com.sidlors.patterns.prototype.Cuadrado,clonar/0,figura,3
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Prueba.java,com.sidlors.patterns.composition.Prueba,main/1[java.lang.String[]],args,0
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Prueba.java,com.sidlors.patterns.composition.Prueba,main/1[java.lang.String[]],lista,7
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Prueba.java,com.sidlors.patterns.composition.Prueba,main/1[java.lang.String[]],i,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabras.java,com.sidlors.patterns.iterator.ListaPalabras,agregar/1[java.lang.String],p,5
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\PruebaPlantilla.java,com.sidlors.patterns.template.PruebaPlantilla,main/1[java.lang.String[]],args,0
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\PruebaPlantilla.java,com.sidlors.patterns.template.PruebaPlantilla,main/1[java.lang.String[]],c,1
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\PruebaPlantilla.java,com.sidlors.patterns.template.PruebaPlantilla,main/1[java.lang.String[]],ca,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,main/1[java.lang.String[]],args,0
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,main/1[java.lang.String[]],ln,7
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,main/1[java.lang.String[]],lp,7
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,main/1[java.lang.String[]],numero,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,main/1[java.lang.String[]],palabra,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\PruebaIterador.java,com.sidlors.patterns.iterator.PruebaIterador,main/1[java.lang.String[]],iterador,8
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabrasIterador.java,com.sidlors.patterns.iterator.ListaPalabrasIterador,"ListaPalabrasIterador/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",p1,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabrasIterador.java,com.sidlors.patterns.iterator.ListaPalabrasIterador,"ListaPalabrasIterador/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",p2,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabrasIterador.java,com.sidlors.patterns.iterator.ListaPalabrasIterador,"ListaPalabrasIterador/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",p3,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabrasIterador.java,com.sidlors.patterns.iterator.ListaPalabrasIterador,"ListaPalabrasIterador/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",p4,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaPalabrasIterador.java,com.sidlors.patterns.iterator.ListaPalabrasIterador,"ListaPalabrasIterador/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",p5,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ImpListaRepetidos.java,com.sidlors.patterns.bridge.ImpListaRepetidos,remItem/1[java.lang.String],item,2
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ImpListaRepetidos.java,com.sidlors.patterns.bridge.ImpListaRepetidos,getItem/1[int],index,2
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ImpListaRepetidos.java,com.sidlors.patterns.bridge.ImpListaRepetidos,addItem/1[java.lang.String],item,1
